Number of Statements,Number of Findings,Rounds,Average Time per Round (s),Total Time (s)
1,1,4,0.0024,0.6506
2,2,9,0.0065,0.7981
3,3,16,0.0141,1.2879
4,4,25,0.0300,2.8819
5,5,36,0.0521,7.0329
6,6,49,0.1001,18.1379
7,7,64,0.1698,46.0164
8,8,81,0.2968,107.7209
9,9,100,0.4720,233.7954
10,10,121,0.7671,586.2623
11,11,144,1.3942,1291.5089
12,12,169,2.7136,3143.0183
