Number of Statements,Number of Findings,Rounds,Average Time per Round (s),Total Time (s)
2,1,4,0.0044,0.4611
2,1,5,0.0035,0.4752
2,2,7,0.0111,0.5082
2,4,9,0.0260,0.7653
2,4,9,0.0115,0.5777
2,0,4,0.0050,0.4577
2,0,4,0.0032,0.4574
2,1,5,0.0029,0.4540
2,2,9,0.0093,0.5622
2,2,8,0.0081,0.5674
2,1,9,0.0038,0.4555
2,2,9,0.0088,0.5652
