SingleRound,AllRound,WholeTime
0.0337,0.0337,103.8509
0.0291,0.0628,103.8509
0.0311,0.0939,103.8509
0.0294,0.1233,103.8509
0.0283,0.1516,103.8509
0.0358,0.1874,103.8509
0.0302,0.2176,103.8509
0.0344,0.2520,103.8509
0.0438,0.2958,103.8509
0.0372,0.3330,103.8509
0.0280,0.3610,103.8509
0.0316,0.3925,103.8509
0.0317,0.4242,103.8509
0.0299,0.4541,103.8509
0.0301,0.4842,103.8509
0.0460,0.5301,103.8509
0.0631,0.5932,103.8509
0.0674,0.6606,103.8509
0.0728,0.7334,103.8509
0.0711,0.8046,103.8509
0.0542,0.8587,103.8509
0.0631,0.9218,103.8509
0.0307,0.9525,103.8509
0.0263,0.9788,103.8509
0.0261,1.0049,103.8509
0.0259,1.0308,103.8509
0.0361,1.0669,103.8509
0.0284,1.0953,103.8509
0.0301,1.1254,103.8509
0.0310,1.1564,103.8509
0.0397,1.1961,103.8509
0.0296,1.2257,103.8509
0.0384,1.2641,103.8509
0.0340,1.2981,103.8509
0.0296,1.3277,103.8509
0.0264,1.3541,103.8509
0.0310,1.3852,103.8509
0.0352,1.4203,103.8509
0.0422,1.4626,103.8509
0.0316,1.4941,103.8509
0.0585,1.5526,103.8509
0.0275,1.5801,103.8509
0.0270,1.6071,103.8509
0.0257,1.6327,103.8509
0.0294,1.6621,103.8509
0.0269,1.6891,103.8509
0.0307,1.7198,103.8509
0.0269,1.7467,103.8509
0.0254,1.7721,103.8509
0.0256,1.7977,103.8509
0.0253,1.8231,103.8509
0.0253,1.8484,103.8509
0.0253,1.8737,103.8509
0.0307,1.9044,103.8509
0.0601,1.9645,103.8509
0.0432,2.0077,103.8509
0.0306,2.0383,103.8509
0.0300,2.0683,103.8509
0.0315,2.0997,103.8509
0.0257,2.1254,103.8509
0.0495,2.1749,103.8509
0.1691,2.3440,103.8509
0.2657,2.6097,103.8509
0.4932,3.1029,103.8509
0.3804,3.4833,103.8509
0.9931,4.4765,103.8509
0.4558,4.9323,103.8509
0.4335,5.3657,103.8509
0.4829,5.8486,103.8509
0.4943,6.3430,103.8509
0.4921,6.8350,103.8509
0.2460,7.0810,103.8509
0.4947,7.5758,103.8509
0.4238,7.9996,103.8509
0.4041,8.4037,103.8509
0.4414,8.8450,103.8509
0.4335,9.2785,103.8509
0.2891,9.5676,103.8509
0.6177,10.1853,103.8509
0.4356,10.6209,103.8509
0.4065,11.0275,103.8509
0.4554,11.4829,103.8509
0.6579,12.1408,103.8509
0.1646,12.3053,103.8509
0.4804,12.7858,103.8509
0.4382,13.2240,103.8509
0.5754,13.7994,103.8509
0.6225,14.4220,103.8509
0.6689,15.0908,103.8509
2.0317,17.1225,103.8509
0.6010,17.7235,103.8509
0.4662,18.1897,103.8509
0.7124,18.9021,103.8509
0.5811,19.4832,103.8509
0.5975,20.0807,103.8509
0.2882,20.3689,103.8509
1.5008,21.8697,103.8509
0.5543,22.4240,103.8509
0.5169,22.9410,103.8509
0.6100,23.5509,103.8509
0.5909,24.1418,103.8509
0.5389,24.6808,103.8509
0.2861,24.9669,103.8509
0.6108,25.5777,103.8509
0.4707,26.0484,103.8509
0.5640,26.6125,103.8509
0.6789,27.2914,103.8509
0.5575,27.8489,103.8509
0.2836,28.1325,103.8509
1.2913,29.4238,103.8509
0.9849,30.4086,103.8509
1.0487,31.4573,103.8509
0.9198,32.3771,103.8509
1.6396,34.0167,103.8509
0.2943,34.3110,103.8509
1.9575,36.2685,103.8509
0.6424,36.9109,103.8509
0.6633,37.5741,103.8509
0.8837,38.4578,103.8509
0.8133,39.2712,103.8509
0.8836,40.1548,103.8509
2.4741,42.6288,103.8509
2.0924,44.7212,103.8509
0.8091,45.5303,103.8509
0.7037,46.2340,103.8509
0.8166,47.0507,103.8509
0.9018,47.9525,103.8509
0.8101,48.7626,103.8509
0.4107,49.1733,103.8509
0.8700,50.0432,103.8509
0.7040,50.7472,103.8509
0.8625,51.6097,103.8509
1.1609,52.7706,103.8509
0.7799,53.5506,103.8509
0.4109,53.9615,103.8509
3.1728,57.1343,103.8509
2.3649,59.4992,103.8509
1.2204,60.7196,103.8509
1.5147,62.2343,103.8509
1.9394,64.1737,103.8509
0.0260,64.1996,103.8509
2.0116,66.2112,103.8509
2.1020,68.3132,103.8509
2.0087,70.3219,103.8509
0.8690,71.1909,103.8509
0.8497,72.0406,103.8509
1.0541,73.0947,103.8509
1.2113,74.3060,103.8509
1.1577,75.4636,103.8509
2.7264,78.1901,103.8509
1.0784,79.2685,103.8509
0.8300,80.0984,103.8509
1.1318,81.2302,103.8509
1.0561,82.2863,103.8509
0.9916,83.2780,103.8509
0.0259,83.3038,103.8509
3.5546,86.8584,103.8509
3.1952,90.0536,103.8509
0.6118,90.6654,103.8509
0.9568,91.6222,103.8509
1.7570,93.3791,103.8509
1.3019,94.6811,103.8509
0.9877,95.6687,103.8509
1.4466,97.1153,103.8509
1.7865,98.9018,103.8509
1.4035,100.3053,103.8509
