SingleRound,AllRound,WholeTime
0.0291,0.0291,2.8835
0.0286,0.0577,2.8835
0.0241,0.0818,2.8835
0.0282,0.1100,2.8835
0.0246,0.1346,2.8835
0.0305,0.1651,2.8835
0.0699,0.2350,2.8835
