Number of Statements,Number of Findings,Rounds,Average Time per Round (s),Total Time (s)
2,1,4,0.0505,2.2311
2,1,5,0.0281,2.1326
2,2,7,0.0336,2.8835
2,2,9,0.0682,5.3175
2,2,9,0.0741,3.9639
2,0,4,0.0316,0.8039
2,0,4,0.0316,0.6607
2,1,6,0.0251,1.9861
2,1,9,0.0470,3.2975
2,1,8,0.0374,3.1804
2,1,9,0.0292,2.3238
2,1,9,0.0375,2.7728
