SingleRound,AllRound,WholeTime
0.0287,0.0287,1.9861
0.0263,0.0550,1.9861
0.0237,0.0787,1.9861
0.0254,0.1042,1.9861
0.0224,0.1266,1.9861
0.0238,0.1504,1.9861
