NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	32	34.48	26.54	5.78	0.60	1.56
2	4	2	108	52.46	39.68	9.74	0.87	2.17
3	9	3	250	80.56	57.25	20.73	0.78	1.80
4	16	4	482	112.78	76.10	33.54	1.36	1.78
5	25	5	825	204.34	127.87	70.78	3.03	2.66
6	36	6	1296	338.75	204.01	125.44	6.62	2.67
7	49	7	1918	477.55	249.86	211.92	12.61	3.15
8	64	8	2712	821.19	385.13	401.88	30.02	4.15
9	81	9	3701	1175.16	440.15	682.53	46.86	5.62
10	100	10	4903	1706.45	573.88	1026.44	98.02	8.11
11	121	11	6322	2445.60	733.67	1574.42	126.38	11.12
12	144	12	8020	3660.25	1115.55	2341.98	186.76	15.95
13	169	13	9987	5010.28	1441.76	3317.37	229.33	21.82
14	196	14	12254	6657.49	1550.68	4631.15	446.52	29.14
15	225	15	14837	8925.24	1909.59	6418.35	557.55	39.75
