Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            3.77          0.00             0.00             3.77               115.02   
0.11            0.00          0.05             0.00             0.16               115.18   
0.02            0.00          0.02             0.00             0.04               115.22   
0.02            0.00          0.02             0.00             0.04               115.26   
0.01            0.00          0.02             0.00             0.03               115.29   
0.01            0.00          0.02             0.00             0.03               115.32   
0.01            0.00          0.02             0.00             0.03               115.35   
0.01            0.00          0.02             0.00             0.03               115.38   
0.01            0.00          0.02             0.00             0.03               115.41   
0.01            0.00          0.00             0.00             0.01               115.42   
0.01            0.00          0.00             0.00             0.01               115.43   
0.01            0.00          0.00             0.00             0.01               115.44   
0.01            0.00          0.00             0.00             0.01               115.45   
0.01            0.00          0.00             0.00             0.01               115.46   
0.01            0.00          0.00             0.00             0.01               115.47   
0.01            0.00          0.00             0.00             0.01               115.48   
0.01            0.00          0.00             0.00             0.01               115.49   
0.01            0.00          0.00             0.00             0.01               115.50   
0.02            0.00          0.00             0.00             0.02               115.52   
0.02            0.00          0.00             0.00             0.02               115.54   
0.01            0.00          0.00             0.00             0.01               115.55   
0.00            0.00          0.00             1.40             1.40               116.95   
