Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            4.19          0.00             0.00             4.19               122.86   
0.09            0.00          0.05             0.00             0.14               123.00   
0.02            0.00          0.02             0.00             0.04               123.04   
0.02            0.00          0.03             0.00             0.05               123.09   
0.02            0.00          0.02             0.00             0.04               123.13   
0.01            0.00          0.02             0.00             0.03               123.16   
0.01            0.00          0.02             0.00             0.03               123.19   
0.01            0.00          0.02             0.00             0.03               123.22   
0.01            0.00          0.02             0.00             0.03               123.25   
0.01            0.00          0.00             0.00             0.01               123.26   
0.01            0.00          0.00             0.00             0.01               123.27   
0.01            0.00          0.00             0.00             0.01               123.28   
0.01            0.00          0.00             0.00             0.01               123.29   
0.02            0.00          0.00             0.00             0.02               123.31   
0.01            0.00          0.00             0.00             0.01               123.32   
0.01            0.00          0.00             0.00             0.01               123.33   
0.01            0.00          0.00             0.00             0.01               123.34   
0.01            0.00          0.00             0.00             0.01               123.35   
0.01            0.00          0.00             0.00             0.01               123.36   
0.01            0.00          0.00             0.00             0.01               123.37   
0.02            0.00          0.00             0.00             0.02               123.39   
0.00            0.00          0.00             1.45             1.45               124.84   
