Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            35.29         0.00             0.00             35.29              771.09   
0.09            0.00          0.06             0.00             0.15               771.24   
0.02            0.00          0.02             0.00             0.04               771.28   
0.01            0.00          0.02             0.00             0.03               771.31   
0.01            0.00          0.03             0.00             0.04               771.35   
0.01            0.00          0.03             0.00             0.04               771.39   
0.01            0.00          0.02             0.00             0.03               771.42   
0.01            0.00          0.03             0.00             0.04               771.46   
0.01            0.00          0.05             0.00             0.06               771.52   
0.02            0.00          0.02             0.00             0.04               771.56   
0.02            0.00          0.01             0.00             0.03               771.59   
0.02            0.00          0.01             0.00             0.03               771.62   
0.02            0.00          0.02             0.00             0.04               771.66   
0.02            0.00          0.01             0.00             0.03               771.69   
0.02            0.00          0.01             0.00             0.03               771.72   
0.02            0.00          0.02             0.00             0.04               771.76   
0.02            0.00          0.01             0.00             0.03               771.79   
0.02            0.00          0.01             0.00             0.03               771.82   
0.02            0.00          0.03             0.00             0.05               771.87   
0.02            0.00          0.01             0.00             0.03               771.90   
0.02            0.00          0.01             0.00             0.03               771.93   
0.02            0.00          0.01             0.00             0.03               771.96   
0.02            0.00          0.02             0.00             0.04               772.00   
0.02            0.00          0.01             0.00             0.03               772.03   
0.02            0.00          0.01             0.00             0.03               772.06   
0.02            0.00          0.02             0.00             0.04               772.10   
0.02            0.00          0.01             0.00             0.03               772.13   
0.02            0.00          0.02             0.00             0.04               772.17   
0.02            0.00          0.02             0.00             0.04               772.21   
0.02            0.00          0.00             0.00             0.02               772.23   
0.02            0.00          0.00             0.00             0.02               772.25   
0.02            0.00          0.00             0.00             0.02               772.27   
0.03            0.00          0.00             0.00             0.03               772.30   
0.01            0.00          0.00             0.00             0.01               772.31   
0.02            0.00          0.00             0.00             0.02               772.33   
0.02            0.00          0.00             0.00             0.02               772.35   
0.01            0.00          0.00             0.00             0.01               772.36   
0.02            0.00          0.00             0.00             0.02               772.38   
0.02            0.00          0.00             0.00             0.02               772.40   
0.02            0.00          0.00             0.00             0.02               772.42   
0.02            0.00          0.00             0.00             0.02               772.44   
0.00            0.00          0.00             1.56             1.56               774.00   
